Vorname einzeln,Anzahl,Geschlecht
Emil,14,m
Theodor,12,m
Aaron,9,m
Elias,8,m
Arthur,7,m
Leon,7,m
Paul,7,m
Adam,6,m
Alexander,6,m
Jonathan,6,m
Levi,6,m
Maximilian,6,m
Noah,6,m
Ben,5,m
Bruno,5,m
Felix,5,m
Henry,5,m
Jakob,5,m
Oskar,5,m
Otto,5,m
Simon,5,m
Erik,4,m
Gustav,4,m
Karl,4,m
Konstantin,4,m
Ludwig,4,m
Maxim,4,m
Mika,4,m
Moritz,4,m
Pepe,4,m
Robin,4,m
Samuel,4,m
Adrian,3,m
David,3,m
Eduard,3,m
Fabian,3,m
Fiete,3,m
Frederik,3,m
Friedrich,3,m
Georg,3,m
Hannes,3,m
Jannes,3,m
Leo,3,m
Luis,3,m
Matteo,3,m
Milo,3,m
Mohammad,3,m
Niklas,3,m
Richard,3,m
+,0,m
Adel,0,m
Aeneas,0,m
Ahmad,0,m
Aiden,0,m
Alex,0,m
Alexandre,0,m
Alfons,0,m
Ali,0,m
Aljoscha,0,m
Amir,0,m
Amon,0,m
Anakin,0,m
Anton,0,m
Antonio,0,m
Anuk,0,m
Aram,0,m
Archis,0,m
Ari,0,m
Arion,0,m
Arne,0,m
Arno,0,m
Aron,0,m
Arvid,0,m
Arvin,0,m
Ashfaaq,0,m
Askil,0,m
Aslan,0,m
August,0,m
Augustus,0,m
Aurelian,0,m
Ayan,0,m
Ayden,0,m
Azlan,0,m
Bela,0,m
Benedikt,0,m
Bennet,0,m
Benno,0,m
Bilal,0,m
Bjarne Hugo,0,m
Caelan,0,m
Carl,0,m
Cheng,0,m
Chris,0,m
Ciya,0,m
Clemens,0,m
Connor,0,m
Cornelius,0,m
Dave,0,m
Diako,0,m
Eddi,0,m
Eden,0,m
Edgar,0,m
Edi,0,m
Egon,0,m
Eliah,0,m
Elion,0,m
Elis,0,m
Emilian,0,m
Enno,0,m
Enrico,0,m
Etno,0,m
Ferenc,0,m
Finlay,0,m
Finn,0,m
Firas,0,m
Fjor,0,m
Franz,0,m
Friedel,0,m
Frieder,0,m
Fritz,0,m
Frowin,0,m
Gregor,0,m
Hamza,0,m
Hanjo,0,m
Hanno,0,m
Hans,0,m
Harvey,0,m
Hauke,0,m
Henri,0,m
Hugo,0,m
Isaac Gershon,0,m
Isaak,0,m
Isuf,0,m
Ivar,0,m
Ivo,0,m
Jabrail,0,m
Jack,0,m
Jacob,0,m
Jamie,0,m
Jan,0,m
Janne,0,m
Jannis,0,m
Janosch,0,m
Jari,0,m
Jaris,0,m
Jaro,0,m
Jeremia,0,m
Jod,0,m
Joel,0,m
Johannes,0,m
Johnny,0,m
Jon,0,m
Jona,0,m
Jonah,0,m
Jonas,0,m
Jonte,0,m
Jora,0,m
Joris,0,m
Joshua,0,m
Josua,0,m
Julian,0,m
Julius,0,m
Junes,0,m
Junis,0,m
Justinos,0,m
Justus,0,m
Kei,0,m
Kilian,0,m
Kinan,0,m
Kjell,0,m
Knut,0,m
Kurt,0,m
Lando,0,m
Lasse,0,m
Laurence,0,m
Laurin,0,m
Leander,0,m
Leano,0,m
Lennart,0,m
Lenni,0,m
Lennox,0,m
Lenny,0,m
Leonard,0,m
Leonardo,0,m
Leopold,0,m
Leto,0,m
Levian,0,m
Levin,0,m
Lian,0,m
Linus,0,m
Lio,0,m
Lior,0,m
Lorenz,0,m
Lou,0,m
Louis,0,m
Luca,0,m
Lucius,0,m
Luka,0,m
Lukas,0,m
Luke,0,m
Maarten,0,m
Mads,0,m
Magnus,0,m
Mailo,0,m
Malte,0,m
Marcelo,0,m
Marek,0,m
Mark,0,m
Marlon,0,m
Maron,0,m
Martin,0,m
Mateo,0,m
Matheo,0,m
Mattheo,0,m
Matthieu,0,m
Matti,0,m
Matvey,0,m
Max,0,m
Merlin,0,m
Michael,0,m
Michel,0,m
Mio,0,m
Miro,0,m
Mitja,0,m
Mohamad,0,m
Muhammad,0,m
Nasar,0,m
Nathan,0,m
Nectarie,0,m
Neo,0,m
Nils,0,m
Nino,0,m
Ole,0,m
Oliver,0,m
Oswald,0,m
Pavel,0,m
Peer,0,m
Peter,0,m
Phileas,0,m
Philian,0,m
Philias,0,m
Phillip,0,m
Phillipp,0,m
Phio,0,m
Quentin,0,m
Raban,0,m
Rafael,0,m
Raphael,0,m
Rasmus,0,m
Rudi,0,m
Salah,0,m
Santiago,0,m
Saoud,0,m
Shiwan,0,m
Simo,0,m
Sochisom,0,m
Taavi,0,m
Tammo,0,m
Taylor,0,m
Temuujin,0,m
Thales,0,m
Theo,0,m
Thies,0,m
Thomas,0,m
Till,0,m
Tim,0,m
Titus,0,m
Tobias,0,m
Tom,0,m
Trí,0,m
Valentin,0,m
Viktor,0,m
Vincent,0,m
Walter,0,m
Willi,0,m
Wilmar,0,m
Yaakob,0,m
Yannik,0,m
Yari,0,m
Yaron,0,m
Yazan,0,m
Yohannes,0,m
Younes,0,m
Youssef,0,m
Yuri,0,m
Ziad,0,m
Charlotte,14,w
Ella,7,w
Mia,7,w
Paula,7,w
